key,strategy,symbol,params,trades_per_day,is_n,is_pf,is_exp,oos_n,oos_pf,oos_exp
"pdhl|BTCUSD|{""rr"": 1.5}",pdhl,BTCUSD,"{""rr"": 1.5}",0.7812041116005873,372,0.8972481669650595,-0.02480431455237962,388,0.843740469902189,-0.03208408586448545
"pdhl|BTCUSD|{""rr"": 2.5}",pdhl,BTCUSD,"{""rr"": 2.5}",0.7812041116005873,372,0.8888031331671365,-0.027171388792981893,388,0.871565473936162,-0.026370899487649212
"rsi2|BTCUSD|{""lo"": 5, ""sl"": 1.5}",rsi2,BTCUSD,"{""lo"": 5, ""sl"": 1.5}",0.44610866372980906,216,0.8038834708470229,-0.07365435854804435,218,0.7470074093157915,-0.09426160648514673
"rsi2|BTCUSD|{""lo"": 5, ""sl"": 3.0}",rsi2,BTCUSD,"{""lo"": 5, ""sl"": 3.0}",0.43069016152716594,206,0.7424503632389038,-0.05661489392587942,213,0.667687027426594,-0.0691614280390754
"rsi2|BTCUSD|{""lo"": 10, ""sl"": 1.5}",rsi2,BTCUSD,"{""lo"": 10, ""sl"": 1.5}",0.9035242290748898,464,0.6989901407325471,-0.11993978337196329,415,0.6998986928899549,-0.11704240898834822
"rsi2|BTCUSD|{""lo"": 10, ""sl"": 3.0}",rsi2,BTCUSD,"{""lo"": 10, ""sl"": 3.0}",0.868575624082232,444,0.6862651426395635,-0.06890779366628276,401,0.6740067392121853,-0.06832734165208135
"breakout|ETHUSD|{""n"": 20, ""sl"": 2.0}",breakout,ETHUSD,"{""n"": 20, ""sl"": 2.0}",0.5406754772393538,275,0.9381964795504739,-0.03308094644825885,251,1.576753941875452,0.2958959155463848
"breakout|ETHUSD|{""n"": 20, ""sl"": 3.0}",breakout,ETHUSD,"{""n"": 20, ""sl"": 3.0}",0.4491923641703377,230,0.9947893872721637,-0.0027908671002747436,207,1.5078080348662926,0.24967987654674967
"breakout|ETHUSD|{""n"": 55, ""sl"": 2.0}",breakout,ETHUSD,"{""n"": 55, ""sl"": 2.0}",0.31762114537444935,151,1.1594539478282633,0.07676077303044936,158,1.7434848342802418,0.36093087964353154
"breakout|ETHUSD|{""n"": 55, ""sl"": 3.0}",breakout,ETHUSD,"{""n"": 55, ""sl"": 3.0}",0.2795888399412628,135,1.196220585194423,0.0954325100557334,137,1.5206112644592922,0.2534675712805522
"orb|ETHUSD|{""rr"": 1.0, ""width_min"": 0.0}",orb,ETHUSD,"{""rr"": 1.0, ""width_min"": 0.0}",1.1574155653450808,613,0.7703704296558024,-0.07665901640523952,513,1.0129139744328937,0.003395309644155744
"orb|ETHUSD|{""rr"": 1.0, ""width_min"": 0.5}",orb,ETHUSD,"{""rr"": 1.0, ""width_min"": 0.5}",1.1234948604992658,595,0.7595637907739498,-0.08062061177178902,498,1.0652917048439472,0.01660186356508258
"orb|ETHUSD|{""rr"": 2.0, ""width_min"": 0.0}",orb,ETHUSD,"{""rr"": 2.0, ""width_min"": 0.0}",1.1574155653450808,613,0.7926859165207145,-0.07417400789939138,513,0.9553807078495915,-0.012544129394481966
"orb|ETHUSD|{""rr"": 2.0, ""width_min"": 0.5}",orb,ETHUSD,"{""rr"": 2.0, ""width_min"": 0.5}",1.1234948604992658,595,0.7965240341365409,-0.07262476340826027,498,1.0182382694396368,0.004939488860929153
"orb|ETHUSD|{""rr"": 3.0, ""width_min"": 0.0}",orb,ETHUSD,"{""rr"": 3.0, ""width_min"": 0.0}",1.1574155653450808,613,0.792349813714634,-0.07485996836595966,513,0.9613235048234962,-0.010873389886681116
"orb|ETHUSD|{""rr"": 3.0, ""width_min"": 0.5}",orb,ETHUSD,"{""rr"": 3.0, ""width_min"": 0.5}",1.1234948604992658,595,0.8025102165256536,-0.07104247547572425,498,1.024593018151977,0.0066605518478806405
"pdhl|ETHUSD|{""rr"": 1.0}",pdhl,ETHUSD,"{""rr"": 1.0}",0.7606461086637298,382,0.9510899362975144,-0.010152708017187859,358,0.9409401580342361,-0.0115794631501065
"pdhl|ETHUSD|{""rr"": 1.5}",pdhl,ETHUSD,"{""rr"": 1.5}",0.7606461086637298,382,0.970798711232243,-0.006155799471854874,358,0.9724993097190711,-0.005394530584855861
"pdhl|ETHUSD|{""rr"": 2.5}",pdhl,ETHUSD,"{""rr"": 2.5}",0.7606461086637298,382,0.9803123736616856,-0.00415026476328982,358,0.9902744943800107,-0.0019077534776137087
